Date,Open,High,Low,Close,Adj Close,Volume
2013-04-24,11.320000,11.320000,11.320000,11.320000,6.906753,0
2013-04-25,11.310000,11.310000,11.310000,11.310000,6.900649,0
2013-04-26,11.320000,11.320000,11.320000,11.320000,6.906753,0
2013-04-29,11.330000,11.330000,11.330000,11.330000,6.912853,0
2013-04-30,11.340000,11.340000,11.340000,11.340000,6.918955,0
2013-05-01,11.340000,11.340000,11.340000,11.340000,6.918955,0
2013-05-02,11.350000,11.350000,11.350000,11.350000,6.925056,0
2013-05-03,11.330000,11.330000,11.330000,11.330000,6.912853,0
2013-05-06,11.320000,11.320000,11.320000,11.320000,6.906753,0
2013-05-07,11.310000,11.310000,11.310000,11.310000,6.900649,0
2013-05-08,11.320000,11.320000,11.320000,11.320000,6.906753,0
2013-05-09,11.310000,11.310000,11.310000,11.310000,6.900649,0
2013-05-10,11.280000,11.280000,11.280000,11.280000,6.882351,0
2013-05-13,11.270000,11.270000,11.270000,11.270000,6.876247,0
2013-05-14,11.250000,11.250000,11.250000,11.250000,6.864040,0
2013-05-15,11.250000,11.250000,11.250000,11.250000,6.864040,0
2013-05-16,11.270000,11.270000,11.270000,11.270000,6.876247,0
2013-05-17,11.250000,11.250000,11.250000,11.250000,6.864040,0
2013-05-20,11.240000,11.240000,11.240000,11.240000,6.857938,0
2013-05-21,11.250000,11.250000,11.250000,11.250000,6.864040,0
2013-05-22,11.220000,11.220000,11.220000,11.220000,6.845738,0
2013-05-23,11.220000,11.220000,11.220000,11.220000,6.845738,0
2013-05-24,11.210000,11.210000,11.210000,11.210000,6.839635,0
2013-05-28,11.150000,11.150000,11.150000,11.150000,6.803031,0
2013-05-29,11.150000,11.150000,11.150000,11.150000,6.803031,0
2013-05-30,11.160000,11.160000,11.160000,11.160000,6.809129,0
2013-05-31,11.100000,11.100000,11.100000,11.100000,6.772522,0
2013-06-03,11.100000,11.100000,11.100000,11.100000,6.772522,0
2013-06-04,11.070000,11.070000,11.070000,11.070000,6.754216,0
2013-06-05,11.060000,11.060000,11.060000,11.060000,6.748116,0
2013-06-06,11.060000,11.060000,11.060000,11.060000,6.748116,0
2013-06-07,11.020000,11.020000,11.020000,11.020000,6.723712,0
2013-06-10,11.000000,11.000000,11.000000,11.000000,6.711509,0
2013-06-11,10.980000,10.980000,10.980000,10.980000,6.699305,0
2013-06-12,10.950000,10.950000,10.950000,10.950000,6.681004,0
2013-06-13,10.980000,10.980000,10.980000,10.980000,6.699305,0
