"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 02, 2018","2.8825","2.8810","2.8810","2.8810","0.00K","0.42%"
"Oct 01, 2018","2.8705","2.8690","2.8690","2.8690","0.01K","-0.36%"
"Sep 28, 2018","2.8810","2.8795","2.8795","2.8795","0.05K","0.63%"
"Sep 27, 2018","2.8630","2.8615","2.8615","2.8615","1.52K","-1.55%"
"Sep 26, 2018","2.9080","2.9065","2.9065","2.9065","0.01K","0.47%"
"Sep 25, 2018","2.8945","2.8930","2.8930","2.8930","0.01K","-0.72%"
"Sep 24, 2018","2.9155","2.9140","2.9140","2.9140","0.02K","-0.49%"
"Sep 21, 2018","2.9300","2.9285","2.9285","2.9285","0.01K","3.79%"
"Sep 20, 2018","2.8230","2.8215","2.8215","2.8215","0.01K","0.12%"
"Sep 19, 2018","2.8195","2.8180","2.8180","2.8180","0.01K","-0.02%"
"Sep 18, 2018","2.8200","2.8185","2.8185","2.8185","0.03K","2.32%"
"Sep 17, 2018","2.7560","2.7545","2.7545","2.7545","0.01K","0.24%"
"Sep 14, 2018","2.7495","2.7480","2.7480","2.7480","0.36K","-1.29%"
"Sep 13, 2018","2.7855","2.7840","2.7840","2.7840","0.16K","0.36%"
"Sep 12, 2018","2.7755","2.7740","2.7740","2.7740","0.04K","2.00%"
"Sep 11, 2018","2.7210","2.7195","2.7195","2.7195","0.05K","-0.53%"
"Sep 10, 2018","2.7355","2.7340","2.7340","2.7340","0.02K","0.16%"
"Sep 07, 2018","2.7310","2.7295","2.7295","2.7295","0.05K","-0.69%"
"Sep 06, 2018","2.7500","2.7485","2.7485","2.7485","0.01K","1.07%"
"Sep 05, 2018","2.7210","2.7195","2.7195","2.7195","0.02K","0.09%"
"Sep 04, 2018","2.7185","2.7170","2.7170","2.7170","0.03K","-2.23%"
"Aug 31, 2018","2.7805","2.7790","2.7790","2.7790","0.00K","-1.58%"
"Aug 30, 2018","2.8250","2.8235","2.8235","2.8235","0.12K","-0.84%"
"Aug 29, 2018","2.8490","2.8475","2.8475","2.8475","0.01K","-0.52%"
"Aug 28, 2018","2.8640","2.8625","2.8625","2.8625","0.01K","0.77%"
"Aug 27, 2018","2.8420","2.8405","2.8405","2.8405","0.01K","0.30%"
"Aug 24, 2018","2.8335","2.8320","2.8320","2.8320","0.01K","1.43%"
"Aug 23, 2018","2.7935","2.7920","2.7920","2.7920","0.05K","-0.52%"
"Aug 22, 2018","2.8080","2.8065","2.8065","2.8065","0.03K","-0.39%"
"Aug 21, 2018","2.8190","2.8175","2.8175","2.8175","0.01K","0.77%"
"Aug 20, 2018","2.7975","2.7960","2.7960","2.7960","0.03K","1.40%"
"Aug 17, 2018","2.7590","2.7575","2.7575","2.7575","0.04K","0.53%"
"Aug 16, 2018","2.7445","2.7430","2.7430","2.7430","0.09K","1.70%"
"Aug 15, 2018","2.6985","2.6970","2.6970","2.6970","0.03K","-4.27%"
"Aug 14, 2018","2.8190","2.8175","2.8175","2.8175","0.02K","-1.59%"
