"Date","Price","Open","High","Low","Change %"
"May 23, 2018","623.00","624.20","629.85","621.14","-0.19%"
"May 22, 2018","624.20","636.80","636.80","623.23","-2.02%"
"May 21, 2018","637.05","637.74","637.88","635.99","-0.07%"
"May 18, 2018","637.50","632.73","639.02","632.10","0.76%"
"May 17, 2018","632.71","631.02","633.98","629.82","0.30%"
"May 16, 2018","630.79","632.79","636.12","629.03","-0.27%"
"May 15, 2018","632.50","625.36","636.17","624.73","1.13%"
"May 14, 2018","625.41","618.46","626.34","617.57","0.93%"
"May 11, 2018","619.63","623.58","623.58","616.13","-0.57%"
"May 10, 2018","623.20","634.46","634.46","622.80","-1.76%"
"May 09, 2018","634.38","634.40","635.00","630.23","-0.00%"
"May 08, 2018","634.40","629.45","639.58","628.68","0.79%"
"May 07, 2018","629.41","622.22","629.91","622.22","1.15%"
"May 04, 2018","622.25","618.54","622.57","618.54","0.60%"
"May 03, 2018","618.55","617.44","621.30","615.53","0.18%"
"May 02, 2018","617.42","616.22","619.40","614.75","0.58%"
"May 01, 2018","613.84","613.73","614.42","613.48","0.08%"
"Apr 30, 2018","613.36","606.18","614.37","606.18","1.19%"
"Apr 27, 2018","606.17","602.89","608.03","602.54","0.56%"
"Apr 26, 2018","602.78","604.03","605.09","602.50","-0.19%"
"Apr 25, 2018","603.94","599.04","605.39","599.04","0.89%"
"Apr 24, 2018","598.60","602.95","602.95","598.53","-0.73%"
"Apr 23, 2018","603.00","596.36","603.11","596.36","1.12%"
"Apr 20, 2018","596.34","595.42","597.64","595.08","0.16%"
"Apr 19, 2018","595.40","594.11","596.30","593.45","0.22%"
"Apr 18, 2018","594.08","596.54","596.54","593.40","-0.41%"
"Apr 17, 2018","596.52","596.04","596.80","594.47","0.07%"
"Apr 16, 2018","596.13","596.06","597.16","593.80","0.01%"
"Apr 13, 2018","596.06","596.78","596.78","593.89","-0.12%"
"Apr 12, 2018","596.78","597.68","599.45","595.56","-0.15%"
"Apr 11, 2018","597.68","600.34","601.90","596.85","-0.44%"
"Apr 10, 2018","600.35","604.24","604.24","599.97","-0.65%"
"Apr 09, 2018","604.25","604.73","606.36","602.76","-0.08%"
"Apr 06, 2018","604.75","603.86","606.26","603.78","0.14%"
"Apr 05, 2018","603.88","602.76","604.12","601.20","0.18%"
"Apr 04, 2018","602.81","602.80","606.25","602.35","0.01%"
"Apr 03, 2018","602.75","605.50","605.69","602.15","-0.42%"
"Apr 02, 2018","605.28","604.00","607.07","602.10","0.23%"
"Mar 30, 2018","603.90","603.90","604.00","603.90","0.00%"
"Mar 29, 2018","603.90","604.65","605.80","602.60","-0.04%"
"Mar 28, 2018","604.13","606.91","607.53","604.13","-0.36%"
"Mar 27, 2018","606.30","605.18","607.17","604.38","0.26%"
"Mar 26, 2018","604.70","608.79","609.65","604.16","-0.60%"
"Mar 23, 2018","608.38","609.03","609.53","606.95","-0.11%"
"Mar 22, 2018","609.08","604.18","609.15","603.90","0.82%"
"Mar 21, 2018","604.15","609.90","609.90","603.47","-0.96%"
"Mar 20, 2018","609.98","609.40","611.28","608.13","0.11%"
"Mar 19, 2018","609.33","608.41","610.78","608.39","0.14%"
"Mar 16, 2018","608.47","605.65","608.59","605.24","0.47%"
"Mar 15, 2018","605.60","601.43","606.23","601.24","0.70%"
"Mar 14, 2018","601.40","603.02","603.11","599.61","-0.28%"
