"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 08, 2021","4.5665","4.5320","4.5705","4.4750","4.46K","0.61%"
"Jun 07, 2021","4.5390","4.5390","4.5415","4.4800","2.97K","0.00%"
"Jun 04, 2021","4.5390","4.4795","4.5490","4.4555","2.39K","1.42%"
"Jun 03, 2021","4.4755","4.6095","4.6250","4.4440","5.34K","-2.74%"
"Jun 02, 2021","4.6015","4.6575","4.6705","4.5930","2.77K","-1.29%"
"Jun 01, 2021","4.6615","4.6945","4.7095","4.6475","2.85K","-0.42%"
"May 31, 2021","4.6810","4.6930","4.7047","4.6525","-","-0.27%"
"May 30, 2021","4.6937","4.6723","4.6950","4.6697","-","0.16%"
"May 28, 2021","4.6860","4.6845","4.7000","4.6045","3.17K","0.30%"
"May 27, 2021","4.6720","4.5330","4.6840","4.5160","2.60K","2.94%"
"May 26, 2021","4.5385","4.5240","4.5540","4.5060","2.58K","0.50%"
"May 25, 2021","4.5160","4.5410","4.5820","4.5005","2.09K","-0.43%"
"May 24, 2021","4.5355","4.4870","4.5495","4.4550","1.70K","1.00%"
"May 21, 2021","4.4905","4.5435","4.5650","4.4785","2.54K","-1.87%"
"May 20, 2021","4.5760","4.5830","4.6280","4.5385","2.80K","-0.14%"
"May 19, 2021","4.5825","4.7140","4.7290","4.5380","5.71K","-3.12%"
"May 18, 2021","4.7300","4.7310","4.7800","4.7100","2.70K","0.28%"
"May 17, 2021","4.7170","4.6755","4.7240","4.6510","3.16K","1.23%"
"May 14, 2021","4.6595","4.6855","4.7105","4.6100","7.86K","-0.65%"
"May 13, 2021","4.6900","4.7230","4.7595","4.6455","4.13K","-0.91%"
"May 12, 2021","4.7330","4.7840","4.8200","4.7100","4.22K","-0.56%"
"May 11, 2021","4.7595","4.6800","4.7970","4.6620","4.72K","1.06%"
"May 10, 2021","4.7095","4.7535","4.8705","4.6810","6.28K","-0.57%"
"May 07, 2021","4.7365","4.5950","4.7375","4.5840","5.83K","3.20%"
"May 06, 2021","4.5895","4.5115","4.5975","4.5105","3.26K","1.68%"
"May 05, 2021","4.5135","4.5400","4.5550","4.4950","3.67K","0.09%"
"May 04, 2021","4.5095","4.5180","4.5465","4.4845","2.75K","-0.19%"
"May 03, 2021","4.5180","4.4700","4.5240","4.4320","1.95K","1.30%"
"Apr 30, 2021","4.4600","4.4695","4.5200","4.4420","1.94K","-0.38%"
"Apr 29, 2021","4.4770","4.4905","4.5350","4.4550","2.09K","-0.21%"
"Apr 28, 2021","4.4865","4.4740","4.5075","4.4140","2.32K","0.17%"
"Apr 27, 2021","4.4790","4.4405","4.5150","4.4400","2.45K","0.97%"
"Apr 26, 2021","4.4360","4.3340","4.4440","4.3340","3.76K","2.33%"
"Apr 23, 2021","4.3350","4.2700","4.3420","4.2685","3.85K","1.36%"
