"Date","Price","Open","High","Low","Change %"
"Apr 09, 2020","840.08","844.13","846.50","835.01","-0.33%"
"Apr 08, 2020","842.83","859.10","859.10","843.95","-1.78%"
"Apr 07, 2020","858.13","850.51","859.55","833.41","1.01%"
"Apr 06, 2020","849.53","865.50","865.50","849.72","-1.73%"
"Apr 03, 2020","864.50","862.04","867.16","860.72","0.47%"
"Apr 02, 2020","860.42","865.24","866.70","856.66","-0.37%"
"Apr 01, 2020","863.62","855.85","867.89","853.95","1.10%"
"Mar 31, 2020","854.23","858.46","858.46","846.20","-0.30%"
"Mar 30, 2020","856.83","834.85","859.05","834.85","2.65%"
"Mar 27, 2020","834.70","827.55","838.28","827.55","0.88%"
"Mar 26, 2020","827.40","844.65","845.25","827.55","-2.02%"
"Mar 25, 2020","844.50","845.35","850.32","838.32","-0.08%"
"Mar 24, 2020","845.20","860.65","860.65","842.42","-1.78%"
"Mar 23, 2020","860.50","863.25","876.78","856.63","-0.30%"
"Mar 20, 2020","863.10","863.20","863.89","844.58","0.11%"
"Mar 19, 2020","862.19","867.95","878.96","856.10","-0.65%"
"Mar 18, 2020","867.80","848.30","869.58","848.30","2.32%"
"Mar 17, 2020","848.10","853.30","859.30","843.32","-0.46%"
"Mar 16, 2020","852.00","837.63","856.14","837.63","1.71%"
"Mar 13, 2020","837.70","849.42","849.42","833.18","-1.23%"
"Mar 12, 2020","848.12","841.26","858.51","841.26","0.93%"
"Mar 11, 2020","840.28","833.80","841.51","831.69","0.89%"
"Mar 10, 2020","832.83","838.84","838.84","829.89","-0.60%"
"Mar 09, 2020","837.86","826.63","848.79","826.63","1.41%"
"Mar 06, 2020","826.17","825.01","832.92","824.55","0.20%"
"Mar 05, 2020","824.55","819.90","826.88","819.84","0.63%"
